Station,Year,Month,Day,Daily.Rainfall.Total..mm.,Latitude,Longitude,Date,Season
Botanic Garden,2018,1,1,41.6,1.3087,103.818,2018/1/1,Northeast Monsoon
Botanic Garden,2018,1,2,23.4,1.3087,103.818,2018/1/2,Northeast Monsoon
Botanic Garden,2018,1,3,25.2,1.3087,103.818,2018/1/3,Northeast Monsoon
Botanic Garden,2018,1,4,0.4,1.3087,103.818,2018/1/4,Northeast Monsoon
Botanic Garden,2018,1,5,30,1.3087,103.818,2018/1/5,Northeast Monsoon
Botanic Garden,2018,1,6,0,1.3087,103.818,2018/1/6,Northeast Monsoon
Botanic Garden,2018,1,7,1.6,1.3087,103.818,2018/1/7,Northeast Monsoon
Botanic Garden,2018,1,8,33.4,1.3087,103.818,2018/1/8,Northeast Monsoon
Botanic Garden,2018,1,9,49.8,1.3087,103.818,2018/1/9,Northeast Monsoon
Botanic Garden,2018,1,10,20.4,1.3087,103.818,2018/1/10,Northeast Monsoon
Botanic Garden,2018,1,11,15.2,1.3087,103.818,2018/1/11,Northeast Monsoon
Botanic Garden,2018,1,12,8.4,1.3087,103.818,2018/1/12,Northeast Monsoon
Botanic Garden,2018,1,13,15,1.3087,103.818,2018/1/13,Northeast Monsoon
Botanic Garden,2018,1,14,8,1.3087,103.818,2018/1/14,Northeast Monsoon
Botanic Garden,2018,1,15,0.6,1.3087,103.818,2018/1/15,Northeast Monsoon
Botanic Garden,2018,1,16,0,1.3087,103.818,2018/1/16,Northeast Monsoon
Botanic Garden,2018,1,17,0,1.3087,103.818,2018/1/17,Northeast Monsoon
Botanic Garden,2018,1,18,0.2,1.3087,103.818,2018/1/18,Northeast Monsoon
Botanic Garden,2018,1,19,18.8,1.3087,103.818,2018/1/19,Northeast Monsoon
Botanic Garden,2018,1,20,5.8,1.3087,103.818,2018/1/20,Northeast Monsoon
Botanic Garden,2018,1,21,0.2,1.3087,103.818,2018/1/21,Northeast Monsoon
Botanic Garden,2018,1,22,0.4,1.3087,103.818,2018/1/22,Northeast Monsoon
Botanic Garden,2018,1,23,9.2,1.3087,103.818,2018/1/23,Northeast Monsoon
Botanic Garden,2018,1,24,32,1.3087,103.818,2018/1/24,Northeast Monsoon
Botanic Garden,2018,1,25,0.4,1.3087,103.818,2018/1/25,Northeast Monsoon
Botanic Garden,2018,1,26,48.6,1.3087,103.818,2018/1/26,Northeast Monsoon
Botanic Garden,2018,1,27,0,1.3087,103.818,2018/1/27,Northeast Monsoon
