"Station","Year","Month","Day","Daily.Rainfall.Total..mm.","Highest.30.Min.Rainfall..mm.","Highest.60.Min.Rainfall..mm.","Highest.120.Min.Rainfall..mm.","Mean.Temperature..Â.C.","Maximum.Temperature..Â.C.","Minimum.Temperature..Â.C.","Mean.Wind.Speed..km.h.","Max.Wind.Speed..km.h.","Latitude","Longitude","Date","Season"
"Botanic Garden",2018,1,1,41.6,12.8,16.8,24.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-01,"Northeast Monsoon"
"Botanic Garden",2018,1,2,23.4,15.2,20,23.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-02,"Northeast Monsoon"
"Botanic Garden",2018,1,3,25.2,17.8,24.2,25.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-03,"Northeast Monsoon"
"Botanic Garden",2018,1,4,0.4,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-04,"Northeast Monsoon"
"Botanic Garden",2018,1,5,30,23.8,29.6,30,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-05,"Northeast Monsoon"
"Botanic Garden",2018,1,6,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-06,"Northeast Monsoon"
"Botanic Garden",2018,1,7,1.6,1.6,1.6,1.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-07,"Northeast Monsoon"
"Botanic Garden",2018,1,8,33.4,13.8,14.8,23.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-08,"Northeast Monsoon"
"Botanic Garden",2018,1,9,49.8,39.2,41,49.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-09,"Northeast Monsoon"
"Botanic Garden",2018,1,10,20.4,2.2,4.2,6.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-10,"Northeast Monsoon"
"Botanic Garden",2018,1,11,15.2,3.6,3.8,4,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-11,"Northeast Monsoon"
"Botanic Garden",2018,1,12,8.4,0.8,1.2,2.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-12,"Northeast Monsoon"
"Botanic Garden",2018,1,13,15,1.6,2.4,3.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-13,"Northeast Monsoon"
"Botanic Garden",2018,1,14,8,1.2,2,3.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-14,"Northeast Monsoon"
"Botanic Garden",2018,1,15,0.6,0.4,0.6,0.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-15,"Northeast Monsoon"
"Botanic Garden",2018,1,16,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-16,"Northeast Monsoon"
"Botanic Garden",2018,1,17,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-01-17,"Northeast Monsoon"
